latitude,longitude,ignition_date,area_ha,state,shape_area
-32.9386596,151.06040879392097,1996-08-14T00:00:00.000Z,49,NSW (New South Wales),4.7422272928e-05
-37.69422342,148.83072446181902,1998-01-01T00:00:00.000Z,15,VIC (Victoria),1.5778163743e-05
-31.33055298,132.55964249070644,1980-12-31T00:00:00.000Z,3517,SA (South Australia),0.003332857
-24.17493005,151.2655717065889,2015-12-23T00:00:00.000Z,2323,QLD (Queensland),0.00206423
-42.52521483,146.41210860790835,2007-02-17T00:00:00.000Z,62,TAS (Tasmania),6.8374336024e-05
-31.19129955,133.18347848264776,1988-12-31T00:00:00.000Z,18005,SA (South Australia),0.017036895
-28.16397849,152.43609399455147,1985-01-17T00:00:00.000Z,41,QLD (Queensland),3.7703260659e-05
-26.11065891,153.0847055188178,1965-01-01T00:00:00.000Z,5057,QLD (Queensland),0.00456258
-41.95183111,146.8997471357024,2015-12-16T00:00:00.000Z,21,TAS (Tasmania),2.3253291602e-05
-30.65739676,152.28271048906197,2003-09-05T00:00:00.000Z,138,NSW (New South Wales),0.000129642
-16.73069278,142.5049578824521,2018-10-02T00:00:00.000Z,233135,QLD (Queensland),0.211412498
-42.13744102,146.2430982219986,1988-11-12T00:00:00.000Z,86,TAS (Tasmania),9.4186278602e-05
-33.23447281,136.86682512089524,2019-12-22T00:00:00.000Z,3585,SA (South Australia),0.003481055
-34.36398033,150.26590417025787,1899-11-30T00:00:00.000Z,107,NSW (New South Wales),0.000104378
-31.03118734,129.17243836852268,1972-12-31T00:00:00.000Z,4255,SA (South Australia),0.004019892
-14.54987992,144.4778205782326,2005-08-17T00:00:00.000Z,4740,QLD (Queensland),0.003974739
-32.55495572,150.41202695446336,2010-01-12T00:00:00.000Z,19,NSW (New South Wales),1.8051258849e-05
-29.98020835,152.30303361619758,1899-11-30T00:00:00.000Z,19,NSW (New South Wales),1.7453463443e-05
-32.38886222,152.09215239383335,1994-10-01T00:00:00.000Z,415,NSW (New South Wales),0.000398068
-28.16112431,153.2613402,2020-08-27T00:00:00.000Z,53,QLD (Queensland),4.8377330131e-05
-31.34854702,131.89701672178185,2000-12-31T00:00:00.000Z,98,SA (South Australia),9.2888177278e-05
-32.69681116,150.8284185,2000-10-08T00:00:00.000Z,107,NSW (New South Wales),0.000102557
-33.80625803,138.45366798885206,2014-12-09T00:00:00.000Z,315,SA (South Australia),0.000306476
-26.42946003,153.09768930217885,2000-01-01T00:00:00.000Z,413,QLD (Queensland),0.000373597
-27.05349493,150.8903251913556,2004-10-14T00:00:00.000Z,45,QLD (Queensland),4.1097102894e-05
-29.05242525,152.44250699398617,1899-11-30T00:00:00.000Z,4123,NSW (New South Wales),0.003819509
-15.63484364,142.19889548704572,2006-10-29T00:00:00.000Z,9377,QLD (Queensland),0.007902793
-22.00682793,149.85250275238036,2023-05-18T00:00:00.000Z,101,QLD (Queensland),8.8543659558e-05
-36.83435212,148.17804579840112,2019-12-29T00:00:00.000Z,480,VIC (Victoria),0.000485332
-24.9833221,148.3381049944532,2009-11-18T00:00:00.000Z,29,QLD (Queensland),2.6096541433e-05
-31.34725861,133.3026014,2013-12-01T00:00:00.000Z,531,SA (South Australia),0.000503235
-33.46604106,115.79375214366796,2008-03-21T00:00:00.000Z,20,WA (Western Australia),1.9202345129e-05
-17.82780984,128.38459445100207,2022-11-05T00:00:00.000Z,77,WA (Western Australia),6.7654131271e-05
-22.85053239,150.7739967240453,1993-06-01T00:00:00.000Z,49,QLD (Queensland),4.3252758132e-05
-33.7264748,150.6265887799098,2000-08-18T00:00:00.000Z,34,NSW (New South Wales),3.2617260331e-05
-28.42467017,150.92067316401625,2017-09-04T00:00:00.000Z,1966,QLD (Queensland),0.001810873
-34.6390187,139.14318789316283,2022-03-21T00:00:00.000Z,14,SA (South Australia),1.3538394342e-05
-16.79467816,145.46851947910739,2012-10-08T00:00:00.000Z,4953,QLD (Queensland),0.00419803
-34.55666469,144.08787253394115,2006-12-01T00:00:00.000Z,60,NSW (New South Wales),5.8534708842e-05
-16.70596827,145.62425226351527,2013-08-18T00:00:00.000Z,18,QLD (Queensland),1.5218810404e-05
-22.49337518,147.87389416029563,2009-10-27T00:00:00.000Z,271,QLD (Queensland),0.000237559
-34.95509051,141.71217531509404,1981-01-01T00:00:00.000Z,61,VIC (Victoria),5.9725557094e-05
-42.87956956,147.49862745932205,2013-02-10T00:00:00.000Z,17,TAS (Tasmania),1.8180910047e-05
-26.27385983,152.37056496025116,2012-11-23T00:00:00.000Z,73,QLD (Queensland),6.5738764533e-05
-32.47379072,152.27695211557042,1899-11-30T00:00:00.000Z,22,NSW (New South Wales),2.1504318738e-05
-26.62203259,150.9795654860652,1956-11-01T00:00:00.000Z,1768,QLD (Queensland),0.001602524
-28.8444049,114.6550733345533,2009-11-27T00:00:00.000Z,159,WA (Western Australia),0.000147141
-33.63259821,150.37843330088313,1899-11-30T00:00:00.000Z,1048,NSW (New South Wales),0.001018506
-33.35795204,140.66030409102726,1954-11-23T00:00:00.000Z,48,SA (South Australia),4.6061058583e-05
-19.0814422,146.3685639812028,2013-10-08T00:00:00.000Z,452,QLD (Queensland),0.000387589
-42.83076638,146.99401043544032,2019-10-29T00:00:00.000Z,211,TAS (Tasmania),0.00023229
-28.43187043,153.51422496140066,1899-11-30T00:00:00.000Z,110,NSW (New South Wales),0.000100915
-29.28961249,151.7668115541079,2019-03-09T00:00:00.000Z,5332,NSW (New South Wales),0.005063867
-27.20768467,131.13322342990298,1988-12-31T00:00:00.000Z,909,SA (South Australia),0.000827605
-33.52551294,151.38215164095143,1976-05-18T00:00:00.000Z,64,NSW (New South Wales),6.2323941165e-05
-37.29954019,148.0488861614881,1966-01-01T00:00:00.000Z,135,VIC (Victoria),0.00013711
-35.69490324,144.2998599547426,1970-01-02T00:00:00.000Z,19,NSW (New South Wales),1.9322901153e-05
-29.21686636,153.16159310618121,2002-09-01T00:00:00.000Z,1550,NSW (New South Wales),0.001437854
-30.19786228,152.49436680509618,1988-07-01T00:00:00.000Z,1771,NSW (New South Wales),0.001658929
-30.88817987,132.83307423983726,1988-12-31T00:00:00.000Z,1046,SA (South Australia),0.000986631
-15.47440383,125.44324042965573,2007-07-15T00:00:00.000Z,505509,WA (Western Australia),0.461764429
-30.89053457,143.53032495844286,2012-02-18T00:00:00.000Z,226,NSW (New South Wales),0.000213197
-30.74245898,152.21210598291816,2009-10-16T00:00:00.000Z,1090,NSW (New South Wales),0.001048462
-35.87283438,148.55922060779812,2006-12-06T00:00:00.000Z,30,NSW (New South Wales),2.9947596431e-05
-32.45895461,152.2988407437703,1899-11-30T00:00:00.000Z,15,NSW (New South Wales),1.4261805518e-05
-35.05099296,138.9769295458523,2010-12-02T00:00:00.000Z,124,SA (South Australia),0.000122213
-37.26404106,147.31160961257396,2003-01-01T00:00:00.000Z,1924,VIC (Victoria),0.001954304
